index,moisture_1,humidity_1,temperature_1
0,69,80,23.2
1,69,81,23.1
2,69,82,23.2
3,69,82,23.1
4,68,81,23.0
5,69,81,23.2
6,69,80,22.9
7,69,80,22.8
8,69,78,23.1
9,69,77,23.0
10,69,77,22.7
11,69,78,22.8
12,69,78,22.8
13,69,79,22.7
14,69,79,22.7
15,69,78,22.9
16,69,79,23.1
17,69,80,23.0
18,68,83,22.9
19,69,84,22.8
20,68,87,22.5
21,68,87,22.6
22,68,88,22.5
23,68,88,22.3
24,69,88,22.3
25,68,87,22.3
26,69,88,22.3
27,69,89,22.4
28,68,48,22.3
29,69,50,22.2
30,69,55,22.2
31,69,54,22.2
32,68,51,22.2
33,68,46,22.3
34,68,50,22.2
35,68,55,22.4
36,68,59,22.7
37,69,55,22.7
38,68,47,22.8
39,69,47,22.7
40,68,53,22.7
41,68,60,22.5
42,68,47,22.5
43,68,48,22.5
44,69,53,22.7
45,68,59,22.5
46,68,50,22.6
47,67,58,22.7
48,68,59,22.7
49,68,56,22.5
50,69,57,22.7
51,68,61,22.6
52,69,55,22.7
53,69,59,22.7
54,69,90,22.7
55,68,88,22.8
56,69,87,22.7
57,68,86,22.8
58,69,85,22.7
59,69,84,22.7
60,69,84,22.7
61,68,83,22.6
62,68,83,22.7
63,69,84,22.5
64,68,83,22.5
65,69,83,22.5
66,68,81,22.5
67,68,82,22.5
68,69,82,22.5
69,69,85,22.4
70,69,87,22.4
71,69,89,22.5
72,68,50,22.4
73,69,53,22.2
74,68,55,22.2
75,68,51,22.4
76,68,47,22.4
77,68,57,22.2
78,68,52,22.1
79,69,53,22.3
80,68,51,22.2
81,68,47,22.0
82,69,58,22.0
83,68,47,21.9
84,69,48,21.9
85,68,60,21.8
86,68,52,21.9
87,67,47,21.8
88,69,89,22.0
89,67,90,21.8
90,68,89,21.8
91,68,90,21.6
92,68,90,21.7
93,69,88,21.7
94,69,85,22.0
95,69,85,21.9
96,68,85,21.9
97,68,84,21.9
98,69,85,21.7
99,69,84,21.7
100,68,81,21.9
101,70,81,21.7
102,69,82,21.3
103,69,82,21.4
104,69,82,21.2
105,69,82,21.4
106,68,84,21.3
107,69,83,21.2
108,69,83,21.4
109,69,81,21.3
110,69,80,21.4
111,68,79,21.5
112,69,78,21.6
113,68,77,21.9
114,69,75,22.2
115,69,75,22.3
116,68,75,22.4
117,69,74,22.5
118,68,75,22.7
119,69,74,22.9
120,68,74,23.0
121,68,73,23.2
122,68,72,23.7
123,68,65,25.8
124,68,62,26.3
125,68,61,26.3
126,68,58,27.0
127,68,58,26.9
128,67,58,27.2
129,67,55,28.1
130,67,55,28.1
131,67,54,28.5
132,67,55,28.6
133,67,53,28.6
134,67,53,28.9
135,67,51,29.4
136,66,55,27.5
137,66,55,28.0
138,65,52,29.4
139,65,52,29.7
140,65,50,30.7
141,65,50,30.1
142,65,48,31.2
143,65,46,30.7
144,64,48,30.8
145,65,44,31.8
146,64,45,31.8
147,64,51,29.2
148,64,51,29.9
149,63,51,30.2
150,63,52,30.1
151,64,53,28.8
152,63,51,29.6
153,63,52,29.9
154,62,51,30.8
155,63,49,30.9
156,63,49,29.8
157,62,54,29.0
158,62,55,29.6
159,62,54,29.6
160,61,52,30.4
161,62,50,31.7
162,62,47,31.2
163,61,47,31.3
164,61,48,31.2
165,62,45,32.2
166,62,45,32.1
167,61,48,30.7
168,61,46,32.3
169,61,44,32.8
170,61,44,34.4
171,61,43,34.4
172,61,45,33.6
173,61,44,33.5
174,61,45,33.7
175,61,47,32.8
176,61,49,31.2
177,61,50,30.5
178,61,48,30.6
179,61,43,31.6
180,60,42,31.6
181,60,39,33.3
182,60,37,33.4
183,59,34,34.3
184,59,35,34.3
185,59,37,33.5
186,59,38,33.1
187,59,38,32.9
188,58,35,32.9
189,59,35,34.0
190,59,34,33.3
191,59,35,33.4
192,59,37,33.2
193,59,39,32.3
194,59,41,32.0
195,59,42,31.5
196,59,45,30.8
197,59,49,30.0
198,60,47,31.7
199,59,53,30.1
200,60,52,30.8
201,60,52,31.1
202,59,53,30.8
203,59,52,31.3
204,58,53,31.3
205,58,55,30.5
206,58,55,31.1
207,58,56,30.8
208,58,58,29.7
209,58,59,29.3
210,58,59,28.8
211,58,59,28.8
212,57,58,28.8
213,58,54,30.4
214,58,56,29.5
215,58,60,28.0
216,68,58,28.9
217,69,64,27.1
218,69,61,27.8
219,68,63,27.4
220,68,60,27.8
221,68,60,27.5
222,68,60,27.3
223,68,61,27.2
224,68,61,27.0
225,68,66,25.9
226,68,66,26.2
227,68,68,25.6
228,67,69,25.5
229,67,69,25.3
230,67,70,25.0
231,67,71,24.9
232,67,71,24.7
233,66,71,24.8
234,67,72,24.8
235,67,71,24.6
236,66,72,24.4
237,67,72,24.3
238,66,70,24.4
239,66,72,24.2
240,67,72,24.1
241,66,73,23.9
242,66,71,23.9
243,65,72,23.7
244,66,72,23.6
245,67,71,23.6
246,66,71,23.5
247,66,70,23.5
248,66,71,23.4
249,66,71,23.4
250,66,71,23.4
251,66,71,23.2
252,66,70,23.3
253,66,69,23.4
254,66,68,23.3
255,66,69,23.3
256,66,69,23.3
257,66,69,23.3
258,65,70,23.1
259,66,70,23.1
260,66,70,23.1
261,65,70,23.1
262,65,70,23.0
263,65,70,23.1
264,66,71,23.0
265,66,72,22.9
266,66,71,23.0
267,66,71,23.1
268,66,72,22.9
269,66,71,23.0
270,66,71,23.0
271,66,72,22.9
272,66,71,23.0
273,66,71,23.0
274,66,71,22.7
275,66,73,22.7
276,66,71,22.8
277,66,72,22.6
278,65,71,22.7
279,66,71,22.6
280,66,73,22.5
281,66,74,22.5
282,66,75,22.2
283,66,75,22.2
284,66,75,22.2
285,65,74,22.3
286,65,72,22.4
287,66,74,22.2
288,65,74,22.4
289,65,72,22.4
290,65,72,22.4
291,65,73,22.3
292,66,73,22.3
293,66,73,22.2
294,66,74,22.0
295,66,73,22.1
296,66,74,21.9
297,66,73,22.0
298,65,73,22.2
299,66,71,22.4
300,65,72,22.3
301,66,71,22.2
302,66,72,22.1
303,66,74,21.9
304,66,74,21.8
305,65,75,21.8
306,66,75,21.8
307,65,75,21.7
308,66,75,21.7
309,66,73,21.9
310,66,74,21.9
311,65,75,21.6
312,66,75,21.5
313,66,76,21.3
314,65,76,21.4
315,66,74,21.4
316,66,74,21.3
317,66,74,21.1
318,66,75,21.1
319,66,73,21.4
320,66,74,21.1
321,66,73,21.1
322,66,71,21.3
323,66,70,21.2
324,66,71,21.2
325,66,70,20.9
326,66,72,20.8
327,66,73,20.8
328,66,74,20.6
329,66,74,20.5
330,66,75,20.3
331,66,76,20.3
332,66,77,20.2
333,66,78,20.2
334,66,78,20.2
335,66,78,20.2
336,65,78,20.3
337,66,77,20.2
338,66,78,20.0
339,66,78,19.9
340,66,78,19.7
341,66,78,19.8
342,66,77,20.0
343,66,76,20.2
344,65,75,20.3
345,66,75,20.2
346,66,73,20.4
347,66,72,20.5
348,66,74,20.5
349,65,74,20.4
350,65,75,20.7
351,66,75,20.7
352,64,76,20.9
353,64,76,21.0
354,64,79,20.5
355,64,80,20.3
356,66,82,20.2
357,65,82,20.2
358,65,84,19.9
359,65,83,20.1
360,64,84,20.0
361,65,84,19.9
362,66,86,19.8
363,64,86,19.7
364,65,84,20.0
365,64,84,19.9
366,65,82,20.0
367,64,80,20.2
368,65,80,20.0
369,65,81,20.0
370,65,82,19.6
371,64,82,19.7
372,66,83,19.8
373,65,83,19.8
374,66,82,20.0
375,66,81,20.1
376,65,82,19.9
377,65,85,19.6
378,65,84,19.8
379,66,85,19.5
380,65,86,19.2
381,65,85,19.4
382,65,84,19.5
383,65,83,19.7
384,64,84,19.5
385,65,86,19.4
386,64,85,19.5
387,64,85,19.3
388,65,84,19.2
389,65,82,19.2
390,64,84,19.2
391,64,82,19.3
392,65,82,19.2
393,65,85,19.0
394,65,84,19.3
395,65,80,19.6
396,65,79,19.5
397,66,80,19.1
398,65,81,19.1
399,66,77,19.4
400,64,79,19.2
401,65,77,19.7
402,65,76,19.7
403,65,76,20.1
404,65,75,20.3
405,64,72,20.4
406,66,70,20.9
407,66,66,21.2
408,66,64,21.6
409,66,57,24.2
410,65,50,25.9
411,65,47,26.4
412,65,46,27.5
413,66,44,28.1
414,66,43,27.8
415,65,43,27.8
416,66,42,28.0
417,65,40,28.2
418,65,39,29.0
419,65,38,29.5
420,65,37,30.0
421,65,37,29.5
422,64,39,28.5
423,64,42,27.3
424,64,38,30.1
425,64,37,30.8
426,64,37,30.5
427,64,34,32.0
428,72,35,31.0
429,72,35,30.4
430,72,33,30.9
431,72,35,31.3
432,72,33,31.2
433,72,35,30.9
434,72,63,25.9
435,71,63,25.9
436,71,63,25.9
437,71,63,25.9
438,71,63,25.9
439,71,63,25.9
440,70,63,25.9
441,70,63,25.9
442,71,63,25.9
443,71,63,25.9
444,70,63,25.9
445,69,63,25.9
446,69,63,25.9
447,69,63,25.9
448,69,63,25.9
449,69,63,25.9
450,68,63,25.9
451,68,63,25.9
452,68,63,25.9
453,68,63,25.9
454,68,63,25.9
455,68,63,25.9
456,68,63,25.9
457,68,63,25.9
458,68,63,25.9
459,68,63,25.9
460,68,63,25.9
461,68,63,25.9
462,68,63,25.9
463,68,63,25.9
464,67,63,25.9
465,67,63,25.9
466,67,63,25.9
467,67,63,25.9
468,67,63,25.9
469,66,63,25.9
470,66,63,25.9
471,65,63,25.9
472,65,63,25.9
473,65,63,25.9
474,65,63,25.9
475,65,63,25.9
476,65,63,25.9
477,65,63,25.9
478,65,63,25.9
479,65,63,25.9
480,65,63,25.9
481,65,63,25.9
482,65,63,25.9
483,65,63,25.9
484,64,63,25.9
485,64,63,25.9
486,65,63,25.9
487,65,63,25.9
488,66,63,25.9
489,66,63,25.9
490,65,63,25.9
491,65,63,25.9
492,65,63,25.9
493,65,63,25.9
494,65,63,25.9
495,64,63,25.9
496,65,63,25.9
497,64,63,25.9
498,64,49,30.1
499,64,51,29.6
500,64,52,29.0
501,64,52,29.2
502,64,53,29.1
503,64,53,28.4
504,64,52,29.0
505,63,55,28.1
506,64,53,28.7
507,64,53,28.1
508,65,53,28.3
509,66,56,27.4
510,65,58,26.6
511,65,60,26.1
512,65,62,25.8
513,65,60,25.9
514,65,60,25.5
515,65,61,25.5
516,65,63,25.6
517,65,65,25.4
518,65,66,25.2
519,65,66,25.2
520,65,65,25.1
521,65,66,25.1
522,65,65,24.9
523,65,65,24.7
524,65,65,24.7
525,65,65,24.6
526,64,65,24.6
527,65,65,24.4
528,65,65,24.3
529,65,64,24.3
530,65,64,24.2
531,64,64,24.2
532,65,64,24.1
533,64,65,23.9
534,64,65,23.9
535,65,66,23.9
536,64,67,23.8
537,64,68,23.7
538,64,68,23.8
539,64,68,23.7
540,64,69,23.7
541,64,69,23.8
542,64,69,23.5
543,64,68,23.6
544,64,69,23.7
545,64,70,23.5
546,64,69,23.6
547,64,71,23.4
548,64,71,23.3
549,64,72,23.2
550,64,72,23.3
551,64,72,23.2
552,64,72,23.2
553,64,71,23.3
554,64,70,23.2
555,64,68,23.3
556,64,70,23.2
557,64,70,23.3
558,64,71,23.3
559,64,69,23.2
560,64,70,23.4
561,64,64,23.6
562,64,64,23.5
563,64,63,23.5
564,64,62,23.6
565,64,61,23.6
566,64,61,23.5
567,64,61,23.5
568,64,61,23.5
569,64,60,23.5
570,64,61,23.4
571,64,59,23.3
572,64,59,23.3
573,64,60,23.1
574,64,62,22.8
575,64,60,22.8
576,64,59,22.8
577,64,56,23.0
578,64,55,23.1
579,64,54,22.9
580,64,56,22.6
581,64,54,22.7
582,64,54,22.8
583,64,55,22.6
584,64,54,22.6
585,64,54,22.4
586,64,54,22.3
587,64,51,22.5
588,63,50,22.7
589,63,50,23.0
590,64,49,22.9
591,63,50,22.6
592,63,48,22.8
593,64,50,22.3
594,63,49,22.3
595,64,48,22.5
596,63,49,22.2
597,63,50,21.9
598,63,50,21.7
599,64,50,21.7
600,63,51,21.6
601,64,51,21.3
602,64,48,21.6
603,64,50,21.3
604,64,50,21.4
605,64,51,21.2
606,64,52,20.9
607,64,52,20.9
608,64,50,21.1
609,64,52,20.8
610,64,50,21.2
611,64,50,21.2
612,63,50,21.1
613,64,51,20.8
614,64,52,21.0
615,64,52,21.0
616,64,52,21.0
617,64,52,21.2
618,64,52,21.2
619,64,52,21.4
620,63,53,21.0
621,64,55,21.2
622,63,58,21.1
623,63,60,21.3
624,63,60,21.6
625,64,60,21.4
626,63,60,21.4
627,64,61,21.1
628,64,62,21.1
629,64,63,20.8
630,64,63,20.9
631,64,62,20.9
632,64,63,20.8
633,64,62,21.0
634,64,64,21.1
635,64,66,20.5
636,64,67,20.3
637,64,68,20.5
638,64,68,20.3
639,64,68,20.4
640,64,69,20.1
641,64,70,20.1
642,64,70,20.0
643,63,70,20.0
644,64,72,19.7
645,64,72,19.6
646,64,70,20.0
647,64,71,19.9
648,64,70,20.0
649,64,72,20.0
650,63,73,19.6
651,64,73,19.7
652,64,72,19.6
653,64,72,19.6
654,64,71,19.5
655,64,70,19.3
656,64,67,19.5
657,64,67,19.6
658,64,64,19.8
659,64,62,20.4
660,64,62,20.2
661,64,63,19.9
662,64,66,19.8
663,64,67,19.4
664,64,71,19.5
665,64,74,19.5
666,64,78,18.9
667,64,80,19.0
668,64,82,18.8
669,64,81,19.4
670,64,81,19.2
671,64,78,19.3
672,64,82,19.0
673,64,83,18.6
674,64,82,18.7
675,64,83,18.8
676,64,83,18.8
677,64,83,18.9
678,64,85,18.5
679,64,85,18.7
680,64,82,19.0
681,64,84,19.1
682,64,85,18.7
683,64,84,18.9
684,64,83,19.1
685,64,82,19.5
686,64,81,19.6
687,63,83,19.6
688,64,84,19.6
689,64,83,19.9
690,63,81,20.2
691,63,78,20.4
692,64,73,20.8
693,63,70,20.9
694,63,66,21.3
695,63,62,22.0
696,63,51,24.0
697,63,49,25.4
698,63,47,26.1
699,63,46,26.5
700,63,46,27.0
701,63,46,27.5
702,63,43,28.0
703,62,42,28.7
704,63,43,28.2
705,62,39,29.3
706,62,38,29.1
707,62,39,28.4
708,62,36,29.2
709,62,39,27.4
710,62,36,28.8
711,62,34,29.4
712,61,63,25.9
713,61,63,25.9
714,61,63,25.9
715,61,63,25.9
716,61,63,25.9
717,61,63,25.9
718,61,63,25.9
719,61,63,25.9
720,61,63,25.9
721,61,63,25.9
722,61,63,25.9
723,61,63,25.9
724,61,63,25.9
725,61,63,25.9
726,61,63,25.9
727,60,63,25.9
728,61,63,25.9
729,61,63,25.9
730,61,63,25.9
731,60,63,25.9
732,60,63,25.9
733,61,63,25.9
734,60,63,25.9
735,60,63,25.9
736,60,63,25.9
737,60,63,25.9
738,60,63,25.9
739,60,63,25.9
740,61,63,25.9
741,60,63,25.9
742,60,63,25.9
743,60,63,25.9
744,61,63,25.9
745,61,63,25.9
746,60,63,25.9
747,60,63,25.9
748,60,63,25.9
749,61,63,25.9
750,61,63,25.9
751,60,63,25.9
752,61,63,25.9
753,60,63,25.9
754,61,63,25.9
755,60,63,25.9
756,60,63,25.9
757,60,63,25.9
758,60,63,25.9
759,61,63,25.9
760,61,63,25.9
761,60,63,25.9
762,59,63,25.9
763,59,63,25.9
764,59,63,25.9
765,60,63,25.9
766,60,63,25.9
767,60,63,25.9
768,59,63,25.9
769,60,63,25.9
770,60,63,25.9
771,59,63,25.9
772,60,63,25.9
773,60,63,25.9
774,60,63,25.9
775,60,63,25.9
776,60,63,25.9
777,61,63,25.9
778,60,63,25.9
779,60,63,25.9
780,59,63,25.9
781,59,63,25.9
782,59,63,25.9
783,59,63,25.9
784,59,63,25.9
785,60,63,25.9
786,60,63,25.9
787,59,63,25.9
788,60,63,25.9
789,60,63,25.9
790,59,63,25.9
791,60,63,25.9
792,60,63,25.9
793,59,63,25.9
794,60,63,25.9
795,61,63,25.9
796,61,63,25.9
797,61,63,25.9
798,69,63,26.0
799,68,65,25.5
800,68,66,25.3
801,68,64,25.4
802,67,66,25.1
803,67,66,25.0
804,67,66,25.0
805,67,66,25.0
806,66,67,24.8
807,67,66,24.9
808,66,67,24.7
809,66,69,24.4
810,66,70,24.3
811,67,71,24.4
812,66,72,24.2
813,66,73,24.1
814,67,76,23.9
815,66,76,23.9
816,66,77,23.7
817,66,78,23.8
818,67,79,23.5
819,66,80,23.5
820,66,80,23.5
821,66,81,23.4
822,66,82,23.4
823,66,82,23.3
824,66,82,23.3
825,66,82,23.2
826,66,83,23.1
827,66,82,23.3
828,65,81,23.2
829,66,81,23.2
830,66,81,23.2
831,65,82,23.0
832,66,81,23.1
833,66,82,23.0
834,66,82,23.0
835,66,83,22.8
836,66,82,22.8
837,66,82,22.9
838,66,82,22.8
839,65,81,23.0
840,66,82,22.9
841,66,81,23.0
842,65,82,22.9
843,66,81,22.8
844,65,82,22.8
845,65,83,22.6
846,66,83,22.6
847,65,83,22.6
848,65,83,22.7
849,65,84,22.5
850,65,84,22.5
851,66,84,22.4
852,66,83,22.4
853,66,84,22.4
854,65,85,22.1
855,65,85,22.2
856,66,86,22.0
857,65,85,22.1
858,66,85,22.1
859,66,84,22.0
860,66,81,22.0
861,66,78,22.5
862,66,79,22.4
863,66,77,22.4
864,66,78,22.3
865,66,79,22.2
866,66,80,22.1
867,65,80,21.7
868,65,80,21.9
869,66,78,22.2
870,66,76,22.2
871,66,76,22.2
872,65,75,22.0
873,66,75,21.9
874,66,76,22.0
875,65,79,21.9
876,66,80,21.7
877,66,80,21.5
878,66,81,21.4
879,65,80,21.6
880,66,80,21.8
881,66,81,21.4
882,66,82,21.2
883,66,82,21.4
884,66,82,21.4
885,65,80,21.6
886,66,79,21.8
887,66,80,21.6
888,66,80,21.4
889,66,82,21.3
890,66,84,21.1
891,66,86,20.7
892,66,86,20.7
893,65,87,20.5
894,65,85,21.1
895,65,85,21.3
896,65,86,21.1
897,65,85,21.1
898,65,85,21.1
899,66,84,21.2
900,66,84,21.3
901,66,85,20.9
902,66,86,20.9
903,65,86,20.9
904,65,88,20.7
905,66,86,21.1
906,66,87,21.0
907,65,88,20.9
908,65,89,20.7
909,64,88,20.8
910,65,46,20.8
911,65,56,20.6
912,66,52,20.5
913,65,58,20.5
914,65,56,20.4
915,65,54,20.5
916,65,53,20.7
917,66,89,21.1
918,66,90,21.1
919,66,89,21.1
920,65,90,21.0
921,65,59,20.8
922,64,52,20.8
923,65,47,20.6
924,65,55,20.8
925,64,55,20.7
926,66,53,20.5
927,64,48,20.6
928,64,53,20.7
929,65,53,20.9
930,65,50,21.0
931,65,59,21.0
932,65,51,21.0
933,64,55,20.8
934,64,54,20.5
935,65,61,20.3
936,65,62,20.5
937,65,50,20.1
938,65,50,20.3
939,66,51,20.5
940,65,50,20.4
941,66,56,20.1
942,65,48,20.1
943,66,51,20.1
944,66,89,20.0
945,66,85,20.3
946,66,82,20.3
947,66,83,20.4
948,66,84,20.0
949,66,86,19.9
950,66,87,19.5
951,67,86,19.7
952,67,86,19.4
953,67,87,19.3
954,66,87,19.4
955,66,87,19.4
956,66,83,20.1
957,67,85,19.8
958,66,86,19.7
959,66,84,20.0
960,67,86,19.8
961,67,87,19.5
962,67,88,19.3
963,67,87,19.5
964,67,52,19.1
965,66,58,19.2
966,67,48,19.2
967,67,89,19.3
968,66,86,19.8
969,66,86,20.1
970,67,88,19.5
971,67,85,19.7
972,67,78,20.2
973,66,76,20.8
974,67,75,21.0
975,67,73,21.1
976,66,74,21.2
977,67,71,21.4
978,66,71,21.5
979,66,69,21.7
980,66,68,22.0
981,66,64,22.7
982,66,57,25.3
983,66,54,26.3
984,66,51,26.9
985,65,47,27.7
986,66,45,28.3
987,66,46,28.3
988,66,44,29.2
989,66,40,29.3
990,66,41,28.8
991,66,40,29.5
992,65,41,29.1
993,65,42,28.5
994,65,39,29.4
995,65,40,28.2
996,65,38,29.1
997,65,37,30.3
998,65,34,30.8
999,64,37,30.6
1000,64,36,30.5
1001,64,36,30.5
1002,64,35,31.0
1003,64,31,31.0
1004,64,31,31.0
1005,64,30,32.0
1006,64,28,32.6
1007,72,28,31.8
1008,72,29,32.0
1009,72,31,31.8
1010,72,31,31.3
1011,72,29,34.4
1012,71,28,33.5
1013,71,31,33.9
1014,71,33,34.2
1015,72,35,33.9
1016,71,34,34.1
1017,72,34,34.0
1018,72,33,34.8
1019,71,35,32.6
1020,71,35,32.9
1021,71,34,34.9
1022,71,35,34.4
1023,71,36,34.6
1024,71,35,34.7
1025,71,38,33.8
1026,71,38,34.7
1027,71,42,31.8
1028,70,43,32.0
1029,70,39,33.1
1030,70,39,33.4
1031,70,38,33.9
1032,70,40,32.7
1033,70,41,32.8
1034,70,44,31.5
1035,70,42,30.7
1036,70,48,30.9
1037,70,47,30.4
1038,70,48,30.8
1039,70,43,33.0
1040,70,41,33.4
1041,70,44,32.8
1042,69,41,33.0
1043,69,43,33.2
1044,69,45,32.7
1045,69,45,31.2
1046,69,42,31.5
1047,68,44,31.4
1048,68,40,33.0
1049,68,40,33.9
1050,68,41,33.1
1051,68,42,32.8
1052,68,40,33.1
1053,68,41,33.4
1054,67,40,32.9
1055,68,44,32.4
1056,67,47,31.3
1057,67,48,31.9
1058,67,48,32.4
1059,67,50,31.5
1060,68,48,32.6
1061,68,48,32.7
1062,68,48,32.6
1063,68,50,31.8
1064,68,48,32.0
1065,67,52,30.6
1066,67,51,31.7
1067,67,52,30.3
1068,67,51,31.2
1069,66,51,31.7
1070,67,53,31.4
1071,66,53,31.5
1072,67,54,31.2
1073,67,59,29.3
1074,67,60,28.9
1075,67,60,28.5
1076,66,60,29.1
1077,67,58,29.4
1078,67,59,28.7
1079,67,60,28.5
1080,67,62,27.9
1081,68,62,27.5
1082,68,62,27.7
1083,68,62,27.7
1084,68,64,27.4
1085,68,66,26.8
1086,68,68,26.3
1087,68,71,26.1
1088,68,71,25.8
1089,68,72,25.7
1090,68,72,25.7
1091,67,72,25.8
1092,67,74,25.5
1093,67,75,25.3
1094,67,74,25.4
1095,67,74,25.2
1096,68,76,25.0
1097,67,76,25.0
1098,68,77,24.9
1099,68,76,24.8
1100,67,77,24.7
1101,67,78,24.6
1102,67,79,24.5
1103,67,81,24.3
1104,67,82,24.3
1105,67,82,24.2
1106,67,83,24.1
1107,67,84,24.0
1108,67,84,23.9
1109,67,85,24.0
1110,66,85,23.9
1111,66,86,23.8
1112,67,86,23.7
1113,67,87,23.7
1114,67,86,23.7
1115,66,87,23.7
1116,67,87,23.6
1117,67,87,23.5
1118,67,86,23.6
1119,66,86,23.5
1120,66,87,23.4
1121,67,87,23.5
1122,66,87,23.4
1123,66,88,23.1
1124,66,88,23.0
1125,66,88,23.1
1126,66,85,23.5
1127,66,85,23.2
1128,66,84,23.3
1129,66,86,23.2
1130,66,86,23.2
1131,66,87,22.8
1132,66,87,22.9
1133,66,88,23.0
1134,66,86,22.9
1135,65,90,22.5
1136,66,90,22.4
1137,66,50,22.3
1138,65,50,22.2
1139,66,54,22.5
1140,66,60,22.3
1141,66,59,22.2
1142,66,89,22.2
1143,66,87,22.7
1144,65,87,22.4
1145,66,87,22.4
1146,65,85,22.4
1147,65,85,22.5
1148,66,84,22.4
1149,65,85,22.4
1150,65,86,22.6
1151,66,87,22.3
1152,66,88,22.4
1153,65,87,22.4
1154,65,87,22.5
1155,65,85,22.6
1156,66,86,22.7
1157,65,86,22.5
1158,65,89,22.2
1159,65,89,21.9
1160,66,89,21.7
1161,65,89,21.7
1162,65,88,21.8
1163,65,89,21.6
1164,65,88,21.5
1165,65,88,21.6
1166,65,85,21.9
1167,65,84,22.0
1168,66,83,22.0
1169,65,83,21.9
1170,65,84,21.4
1171,66,81,21.8
1172,66,78,22.0
1173,65,77,22.2
1174,65,79,21.9
1175,65,82,21.5
1176,66,84,21.5
1177,65,85,21.3
1178,65,86,21.3
1179,66,88,21.3
1180,65,46,21.1
1181,65,57,20.8
1182,65,54,21.1
1183,65,57,20.8
1184,65,50,21.1
1185,65,54,21.1
1186,65,57,21.2
1187,65,46,21.3
1188,66,61,20.7
1189,65,56,21.2
1190,64,48,21.1
1191,65,53,21.2
1192,64,54,21.1
1193,65,64,20.9
1194,64,62,20.7
1195,65,57,20.6
1196,65,64,20.9
1197,64,53,20.9
1198,65,56,20.7
1199,64,57,21.0
1200,64,65,21.3
1201,65,59,21.1
1202,65,69,20.8
1203,65,58,20.9
1204,65,68,20.9
1205,65,66,21.1
1206,65,62,20.9
1207,64,57,21.1
1208,65,57,21.0
1209,65,68,21.1
1210,65,64,21.1
1211,64,66,20.8
1212,64,69,20.8
1213,64,60,20.6
1214,63,67,20.5
1215,63,59,20.6
1216,62,57,20.6
1217,62,57,20.6
1218,61,58,20.4
1219,62,57,20.5
1220,60,58,20.6
1221,62,59,20.7
1222,61,61,20.5
1223,63,67,20.5
1224,60,62,20.6
1225,60,65,20.4
1226,62,61,20.3
1227,61,59,20.3
1228,63,69,20.4
1229,62,70,20.2
1230,62,66,20.3
1231,61,70,20.2
1232,60,66,20.0
1233,61,70,20.5
1234,62,66,20.7
1235,64,62,21.0
1236,64,55,21.1
1237,62,55,21.1
